"","GEOID","NAME","DP03_0062E","DP03_0062M"
"1","19001","Adair County, Iowa",68092,4755
"2","19003","Adams County, Iowa",71875,7511
"3","19005","Allamakee County, Iowa",70694,3984
"4","19007","Appanoose County, Iowa",54934,3506
"5","19009","Audubon County, Iowa",58229,3902
"6","19011","Benton County, Iowa",86962,3238
"7","19013","Black Hawk County, Iowa",66417,1805
"8","19015","Boone County, Iowa",83531,5481
"9","19017","Bremer County, Iowa",86784,2629
"10","19019","Buchanan County, Iowa",78236,3797
"11","19021","Buena Vista County, Iowa",71719,7936
"12","19023","Butler County, Iowa",73715,2576
"13","19025","Calhoun County, Iowa",64964,5720
"14","19027","Carroll County, Iowa",72930,2443
"15","19029","Cass County, Iowa",63013,3821
"16","19031","Cedar County, Iowa",80602,2675
"17","19033","Cerro Gordo County, Iowa",68189,2473
"18","19035","Cherokee County, Iowa",71269,4228
"19","19037","Chickasaw County, Iowa",75675,4902
"20","19039","Clarke County, Iowa",71641,7170
"21","19041","Clay County, Iowa",65428,5096
"22","19043","Clayton County, Iowa",67242,4606
"23","19045","Clinton County, Iowa",66981,2735
"24","19047","Crawford County, Iowa",67027,6034
"25","19049","Dallas County, Iowa",102379,3721
"26","19051","Davis County, Iowa",77194,9649
"27","19053","Decatur County, Iowa",59044,4382
"28","19055","Delaware County, Iowa",74989,6892
"29","19057","Des Moines County, Iowa",62928,3409
"30","19059","Dickinson County, Iowa",75432,5466
"31","19061","Dubuque County, Iowa",77630,2303
"32","19063","Emmet County, Iowa",63730,8464
"33","19065","Fayette County, Iowa",60165,4060
"34","19067","Floyd County, Iowa",68557,5257
"35","19069","Franklin County, Iowa",59894,6520
"36","19071","Fremont County, Iowa",71621,5642
"37","19073","Greene County, Iowa",63409,4690
"38","19075","Grundy County, Iowa",87205,4831
"39","19077","Guthrie County, Iowa",77711,5028
"40","19079","Hamilton County, Iowa",72432,8050
"41","19081","Hancock County, Iowa",70601,3185
"42","19083","Hardin County, Iowa",65069,4846
"43","19085","Harrison County, Iowa",79535,3655
"44","19087","Henry County, Iowa",67436,5231
"45","19089","Howard County, Iowa",67446,7862
"46","19091","Humboldt County, Iowa",71946,5487
"47","19093","Ida County, Iowa",63073,6791
"48","19095","Iowa County, Iowa",71223,4147
"49","19097","Jackson County, Iowa",74186,6396
"50","19099","Jasper County, Iowa",71311,2918
"51","19101","Jefferson County, Iowa",61620,10446
"52","19103","Johnson County, Iowa",74935,3026
"53","19105","Jones County, Iowa",73531,3847
"54","19107","Keokuk County, Iowa",62329,4405
"55","19109","Kossuth County, Iowa",67697,5975
"56","19111","Lee County, Iowa",62382,3274
"57","19113","Linn County, Iowa",77649,2246
"58","19115","Louisa County, Iowa",77354,7861
"59","19117","Lucas County, Iowa",61793,2738
"60","19119","Lyon County, Iowa",76746,7073
"61","19121","Madison County, Iowa",90855,10483
"62","19123","Mahaska County, Iowa",70940,4815
"63","19125","Marion County, Iowa",78680,3041
"64","19127","Marshall County, Iowa",73315,3402
"65","19129","Mills County, Iowa",90753,5692
"66","19131","Mitchell County, Iowa",71365,5679
"67","19133","Monona County, Iowa",68377,6651
"68","19135","Monroe County, Iowa",70996,9872
"69","19137","Montgomery County, Iowa",63666,5901
"70","19139","Muscatine County, Iowa",69396,3217
"71","19141","O'Brien County, Iowa",68356,4388
"72","19143","Osceola County, Iowa",69239,6938
"73","19145","Page County, Iowa",57953,4402
"74","19147","Palo Alto County, Iowa",72781,7482
"75","19149","Plymouth County, Iowa",83251,4100
"76","19151","Pocahontas County, Iowa",61875,4553
"77","19153","Polk County, Iowa",83576,1283
"78","19155","Pottawattamie County, Iowa",73602,1625
"79","19157","Poweshiek County, Iowa",67391,5210
"80","19159","Ringgold County, Iowa",73346,6185
"81","19161","Sac County, Iowa",73838,5248
"82","19163","Scott County, Iowa",78277,1709
"83","19165","Shelby County, Iowa",72738,9091
"84","19167","Sioux County, Iowa",86098,7089
"85","19169","Story County, Iowa",69685,2902
"86","19171","Tama County, Iowa",70781,3087
"87","19173","Taylor County, Iowa",67740,6173
"88","19175","Union County, Iowa",57772,5799
"89","19177","Van Buren County, Iowa",61161,6234
"90","19179","Wapello County, Iowa",64766,4224
"91","19181","Warren County, Iowa",94588,3834
"92","19183","Washington County, Iowa",75647,2941
"93","19185","Wayne County, Iowa",61964,4667
"94","19187","Webster County, Iowa",68975,4434
"95","19189","Winnebago County, Iowa",67642,8706
"96","19191","Winneshiek County, Iowa",79066,5270
"97","19193","Woodbury County, Iowa",73658,2611
"98","19195","Worth County, Iowa",78008,6274
"99","19197","Wright County, Iowa",67190,5843
